,Source airport ID,OutFlight,InFlight,TotalFlight,Airlines,Airport ID,Name,City,Country,IATA/FAA,Latitude,Longitude,Altitude
0,2965.0,26.0,26.0,52.0,"['SZ', 'HY', '2B', 'R3', 'U6', 'S7', '7J', 'SU', 'PC', 'UN', 'TK', 'B2', '9U', 'Y7', 'QN']",2965,Sochi,Sochi,Russia,AER,43.449928,39.956589,89
1,2966.0,8.0,8.0,16.0,"['3R', 'S7', 'SU', 'TK', '2B', 'DV']",2966,Astrakhan,Astrakhan,Russia,ASF,46.283333,48.006278,-65
2,2968.0,20.0,20.0,40.0,"['OK', 'U6', 'S7', 'SU', '2G', '2B', 'QH']",2968,Balandino,Chelyabinsk,Russia,CEK,55.305836,61.503333,769
3,4029.0,320.0,322.0,642.0,"['YK', 'HY', 'YM', 'BA', 'ZM', '3R', 'YC', 'U6', 'S7', 'BJ', 'U2', 'BT', 'SZ', 'BV', 'KM', 'DV', 'HG', 'I8', 'YQ', 'R2', 'SU', 'TU', 'IOS', '7J', 'G9', 'PC', 'A3', '7R', 'A9', 'TG', 'Z6', 'UL', '9U', 'LX', 'LY', 'EL', 'CI', 'AB', 'MS', 'EK', 'PS', 'EG', 'T5', 'GY', 'TP', 'CX', 'EY', 'VN', '2B', 'QH', 'AY', 'VY', 'IB', 'JL', 'QR', 'UA', 'SQ', 'J2', 'ST', 'SN', 'KR', '6R', 'UN', 'RJ', 'B2', '6W', 'LH', 'OS', 'Y7']",4029,Domododevo,Moscow,Russia,DME,55.408611,37.906110999999996,588
4,6156.0,11.0,11.0,22.0,"['R3', '3R', 'KR', '7R', '2B', 'YQ', 'Y7']",6156,Belgorod International Airport,Belgorod,Russia,EGO,50.6438,36.5901,735
5,2922.0,64.0,64.0,128.0,"['HY', 'BA', 'FZ', 'U6', 'S7', 'BT', 'SU', 'FG', 'DV', 'PS', 'IOS', 'LH', 'PC', 'TK', 'AF', 'IR', 'CZ', '2B', 'AZ', 'KC', 'QR', 'OK', 'UA', 'J2', 'W6', 'B2', 'UJ', 'OS', 'Y7']",2922,Heydar Aliyev,Baku,Azerbaijan,GYD,40.4675,50.046667,10
6,2952.0,14.0,14.0,28.0,"['PS', 'AB', '2B', 'U6', 'S7', 'SU', 'BT', 'HY', 'B2', 'UN']",2952,Khrabrovo,Kaliningrad,Russia,KGD,54.89005,20.592633,42
7,2990.0,28.0,28.0,56.0,"['KC', 'SZ', 'YK', 'HY', 'FV', 'FZ', 'U6', 'S7', 'G9', 'UR', 'UN', 'SU', '2B', '8Q', 'TK']",2990,Kazan,Kazan,Russia,KZN,55.606186,49.278728,411
8,2948.0,181.0,182.0,363.0,"['YK', 'HY', 'BA', 'FV', '3R', 'YC', 'U6', 'S7', 'BJ', 'HU', 'BT', 'FB', '5N', 'KM', 'DY', 'YQ', 'I8', 'IB', 'R2', 'LO', 'R3', '7J', 'LH', 'A3', '7R', '9U', 'LX', 'LY', 'AB', 'EK', 'AF', 'PS', 'EG', 'AP', '2B', 'AY', 'VY', 'AZ', 'KC', 'SZ', 'OK', 'KE', 'UA', 'TK', 'J2', 'KL', 'SK', '6R', 'UN', 'SU', 'B2', 'UJ', 'OV', 'OS', 'Y7', 'QN']",2948,Pulkovo,St. Petersburg,Russia,LED,59.800292000000006,30.262503000000002,78
9,2962.0,22.0,22.0,44.0,"['HY', 'U6', 'R3', 'FZ', 'SU', 'S7', 'J2', 'UN', '7R', '2B', '6W', 'DV', 'Y7']",2962,Mineralnyye Vody,Mineralnye Vody,Russia,MRV,44.225072,43.081889000000004,1054
10,6969.0,7.0,7.0,14.0,"['KK', 'U6', 'SU', '2B']",6969,Begishevo,Nizhnekamsk,Russia,NBC,55.34,52.06,50
11,2972.0,14.0,14.0,28.0,"['SZ', 'IOS', 'YC', 'U6', 'S7', 'SU', 'UR', '2B']",2972,Nizhnevartovsk,Nizhnevartovsk,Russia,NJC,60.949272,76.48361700000001,177
12,4364.0,16.0,16.0,32.0,"['R3', 'IOS', 'YC', 'S7', 'SU', 'UR', 'UN', '7R', '2B', '4G']",4364,Novyi Urengoy,Novy Urengoy,Russia,NUX,66.041811,76.31393800000001,20
13,4078.0,86.0,89.0,175.0,"['YK', 'HY', 'YC', 'U6', 'S7', 'HU', 'J2', 'PS', 'IOS', '7J', '7R', 'TK', 'CZ', '2G', '2B', 'KC', 'SZ', 'SU', 'UR', 'KR', '6R', 'UN', 'QH', 'Y7']",4078,Tolmachevo,Novosibirsk,Russia,OVB,55.012622,82.65065600000001,365
14,2975.0,97.0,101.0,198.0,"['YK', 'HY', 'FZ', 'U6', 'S7', 'J2', 'I8', '7J', 'G9', '7R', 'YC', 'TK', 'PS', 'EG', '2B', 'AY', '4G', 'KC', 'SZ', 'OK', 'SU', 'UR', 'KR', 'UN', 'B2', '6W', 'QH', 'Y7', 'QN']",2975,Koltsovo,Yekaterinburg,Russia,SVX,56.74310799999999,60.802728,764
15,6160.0,4.0,4.0,8.0,"['IOS', '2B']",6160,Bugulma Airport,Bugulma,Russia,UUA,54.64,52.8017,991
16,2936.0,4.0,4.0,8.0,"['2G', 'S7', 'R3']",2936,Bratsk,Bratsk,Russia,BTK,56.37055600000001,101.69833100000001,1610
17,2935.0,11.0,11.0,22.0,"['IOS', 'CA', 'U6', 'S7', 'SU', 'HU', '2G', 'Y7']",2935,Kadala,Chita,Russia,HTA,52.026317,113.30555600000001,2272
18,2937.0,39.0,39.0,78.0,"['SZ', 'YK', 'R3', 'S7', 'U6', 'IOS', 'SU', 'HU', 'KR', '6R', '2G', 'UN', 'Y7']",2937,Irkutsk,Irkutsk,Russia,IKT,52.268028,104.388975,1675
19,2925.0,9.0,8.0,17.0,"['6R', '2G', 'Y7', 'R3']",2925,Mirny,Mirnyj,Russia,MJZ,62.534689,114.038928,1156
20,8944.0,2.0,2.0,4.0,"['2G', 'IOS']",8944,Bodaibo,Bodaibo,Russia,ODO,57.5137,114.1348,940
21,6924.0,2.0,2.0,4.0,"['2G', 'IOS']",6924,Ust-Kut,Ust-Kut,Russia,UKX,56.85,105.7167,2033
22,9026.0,6.0,6.0,12.0,"['6R', '2G', 'IOS', 'PI', 'R3']",9026,Lensk,Lensk,Russia,ULK,60.723,114.825,843
23,2923.0,33.0,33.0,66.0,"['R3', 'IOS', 'U6', 'S7', 'SU', '6R', '2G', 'UN', 'PI']",2923,Yakutsk,Yakutsk,Russia,YKS,62.09325,129.770672,325
24,2786.0,2.0,2.0,4.0,"['W4', '2I']",2786,Coronel Fap Alfredo Mendivil Duarte,Ayacucho,Peru,AYP,-13.154819,-74.204417,8917
25,2812.0,11.0,11.0,22.0,"['LA', 'P9', 'AM', 'Z8', 'JJ', 'IB', '2I']",2812,Teniente Alejandro Velasco Astete Intl,Cuzco,Peru,CUZ,-13.535722,-71.938781,10860
26,6067.0,2.0,2.0,4.0,"['W4', '2I']",6067,Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,HUU,-9.878811,-76.204797,6070
27,2801.0,7.0,7.0,14.0,"['P9', '2I', 'CM', 'LA']",2801,Coronel Francisco Secada Vignetta Intl,Iquitos,Peru,IQT,-3.784739,-73.308806,306
