Airline,Airport ID
2B,2965.0
2B,2966.0
2B,2966.0
2B,2968.0
2B,2968.0
2B,4029.0
2B,4029.0
2B,4029.0
2B,6156.0
2B,6156.0
2B,2922.0
2B,2952.0
2B,2990.0
2B,2990.0
2B,2990.0
2B,2990.0
2B,2990.0
2B,2990.0
2B,2990.0
2B,2948.0
2B,2948.0
2B,2948.0
2B,2962.0
2B,6969.0
2B,6969.0
2B,6969.0
2B,6969.0
2B,2972.0
2B,2972.0
2B,4364.0
2B,4078.0
2B,4078.0
2B,2975.0
2B,2975.0
2B,2975.0
2B,2975.0
2B,2975.0
2B,6160.0
2B,6160.0
2B,6160.0
2G,2936.0
2G,2936.0
2G,2968.0
2G,2935.0
2G,2937.0
2G,2937.0
2G,2937.0
2G,2937.0
2G,2937.0
2G,2937.0
2G,2937.0
2G,2925.0
2G,8944.0
2G,4078.0
2G,4078.0
2G,4078.0
2G,6924.0
2G,9026.0
2G,2923.0
2I,2786.0
2I,2812.0
2I,2812.0
2I,6067.0
2I,2801.0
2I,2801.0
2I,2789.0
2I,2789.0
2I,2789.0
2I,2789.0
2I,2789.0
2I,2781.0
2I,2781.0
2I,2781.0
2I,2808.0
2I,2806.0
2I,2806.0
2I,2806.0
2J,253.0
2J,253.0
2J,248.0
2J,1044.0
2J,1044.0
2J,1044.0
2J,247.0
2J,247.0
2J,245.0
2J,245.0
2J,1084.0
2J,1084.0
2J,298.0
2J,280.0
2J,246.0
2J,246.0
2J,246.0
2J,246.0
2J,246.0
2J,246.0
2J,246.0
2J,246.0
2K,2709.0
2K,2709.0
2K,2715.0
2K,2673.0
2K,2673.0
2K,2673.0
2K,2673.0
2K,2670.0
2K,6045.0
2K,2688.0
2K,2688.0
2K,2688.0
2L,1506.0
2L,1264.0
2L,490.0
2L,1665.0
2L,1197.0
2L,1054.0
2L,4197.0
2L,1056.0
2L,1678.0
2L,1678.0
2L,1678.0
2L,1678.0
2L,1678.0
2L,1678.0
2N,730.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,737.0
2N,715.0
2N,715.0
2N,709.0
2N,709.0
2N,709.0
2N,5599.0
2N,688.0
2N,688.0
2N,435.0
2N,718.0
2N,718.0
2N,5595.0
2N,719.0
2N,719.0
2N,442.0
2N,442.0
2N,722.0
2N,644.0
2N,448.0
2N,448.0
2N,460.0
2N,664.0
2N,746.0
2N,729.0
2N,729.0
2N,711.0
2N,711.0
2O,3531.0
2O,3531.0
2O,3531.0
2O,3531.0
2O,3531.0
2O,7167.0
2O,7168.0
2O,7162.0
2O,7164.0
2O,7173.0
2P,6019.0
2P,4200.0
2P,2399.0
2P,2400.0
2P,6024.0
2P,2425.0
2P,8076.0
2P,6011.0
2P,2430.0
2P,4203.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,2397.0
2P,4002.0
2P,4204.0
2P,2433.0
2P,6026.0
2P,6016.0
2P,6021.0
2P,2404.0
2Z,7376.0
2Z,7373.0
2Z,7373.0
2Z,2531.0
2Z,2531.0
2Z,2531.0
2Z,2535.0
2Z,2548.0
2Z,2548.0
2Z,2538.0
2Z,7380.0
2Z,7380.0
2Z,2560.0
2Z,2564.0
2Z,2564.0
2Z,2564.0
2Z,2564.0
2Z,2564.0
2Z,2564.0
2Z,2562.0
2Z,2562.0
2Z,2562.0
2Z,2562.0
2Z,7367.0
2Z,7367.0
2Z,2528.0
2Z,4214.0
2Z,4214.0
2Z,2613.0
2Z,2613.0
2Z,2613.0
2Z,2613.0
2Z,2613.0
2Z,2613.0
2Z,2613.0
2Z,2619.0
2Z,2621.0
2Z,2621.0
2Z,2635.0
2Z,2635.0
2Z,2633.0
2Z,2633.0
2Z,2633.0
2Z,2633.0
2Z,6039.0
2Z,6039.0
3E,5726.0
3E,5726.0
3E,4042.0
3E,4042.0
3E,3591.0
3E,3830.0
3E,3830.0
3E,3678.0
3E,3678.0
3E,3678.0
3F,7144.0
3F,7144.0
3F,7145.0
3F,7145.0
3F,7145.0
3F,7147.0
3F,7147.0
3F,3808.0
3F,3808.0
3F,3808.0
3F,3808.0
3F,7146.0
3G,248.0
3G,248.0
3G,248.0
3G,1218.0
3G,1050.0
3G,1050.0
3G,1050.0
3G,4162.0
3G,1084.0
3G,1084.0
3G,1084.0
3G,1084.0
3G,1084.0
3G,1084.0
3G,897.0
3G,897.0
3G,1059.0
3G,1059.0
3G,1059.0
3G,1059.0
3G,502.0
3G,273.0
3G,273.0
3G,273.0
3G,273.0
3G,5665.0
3G,5665.0
3G,1063.0
3G,1063.0
3G,1063.0
3H,5506.0
3H,5506.0
3H,5512.0
3H,62.0
3H,62.0
3H,62.0
3H,5496.0
3H,5496.0
3H,5496.0
3H,5496.0
3H,5496.0
3H,5496.0
3H,5504.0
3H,5504.0
3H,5481.0
3H,5481.0
3H,5481.0
3H,80.0
3H,80.0
3H,80.0
3H,80.0
3H,5520.0
3H,5520.0
3H,5520.0
3H,5508.0
3H,5508.0
3H,5508.0
3H,6727.0
3H,6727.0
3H,6727.0
3H,6727.0
3H,111.0
3H,111.0
3H,5499.0
3H,5499.0
3H,5529.0
3H,5529.0
3H,6728.0
3H,6728.0
3H,5515.0
3H,5515.0
3H,5515.0
3H,146.0
3H,146.0
3H,146.0
3H,146.0
3H,149.0
3H,149.0
3H,154.0
3H,154.0
3H,154.0
3H,154.0
3H,154.0
3H,154.0
3H,154.0
3H,154.0
3H,7253.0
3H,7253.0
3H,161.0
3H,161.0
3H,5535.0
