Airline,Name,Country,0,1,2,Number Countries,Favorite Airport ID,Favorite Airport Name,Favorite Airport City,Favorite Airport Country
2B,Aerocondor,Portugal,34.0,6.0,0.0,2,2990.0,Kazan,Kazan,Russia
2G,Cargoitalia,Italy,16.0,3.0,0.0,1,2937.0,Irkutsk,Irkutsk,Russia
2I,Star Peru (2I),Peru,18.0,0.0,0.0,1,2789.0,Jorge Chavez Intl,Lima,Peru
2J,Air Burkina,Burkina Faso,20.0,2.0,0.0,8,246.0,Ouagadougou,Ouagadougou,Burkina Faso
2K,Aerolineas Galapagos (Aerogal),Ecuador,12.0,0.0,0.0,2,2673.0,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador
2L,Helvetic Airways,Switzerland,6.0,4.0,4.0,7,1678.0,Zurich,Zurich,Switzerland
2N,NextJet,Sweden,41.0,0.0,0.0,3,737.0,Arlanda,Stockholm,Sweden
2O,Air Salone,Sierra Leone,10.0,0.0,0.0,1,3531.0,Kodiak,Kodiak,United States
2P,Air Philippines,Philippines,32.0,0.0,2.0,2,2397.0,Ninoy Aquino Intl,Manila,Philippines
2Z,Changan Airlines,China,46.0,0.0,0.0,1,2613.0,Leite Lopes,Ribeirao Preto,Brazil
3E,Air Choice One,United States,10.0,0.0,0.0,1,3678.0,Lambert St Louis Intl,St. Louis,United States
3F,Fly Colombia ( Interliging Flights ),Colombia,12.0,0.0,0.0,1,3808.0,Ketchikan Intl,Ketchikan,United States
3G,Atlant-Soyuz Airlines,Russia,18.0,6.0,6.0,11,1084.0,Leopold Sedar Senghor Intl,Dakar,Senegal
3J,Zip,Canada,4.0,1.0,0.0,5,4119.0,Ambouli International Airport,Djibouti,Djibouti
3K,Jetstar Asia Airways,Singapore,14.0,14.0,8.0,12,3316.0,Changi Intl,Singapore,Singapore
3L,Intersky,Austria,26.0,0.0,0.0,5,382.0,Friedrichshafen,Friedrichshafen,Germany
3O,Air Arabia Maroc,Morocco,14.0,28.0,2.0,9,1074.0,Mohammed V Intl,Casablanca,Morocco
3P,Tiara Air,Aruba,6.0,0.0,0.0,3,2895.0,Reina Beatrix Intl,Oranjestad,Aruba
3R,Moskovia Airlines,Russia,4.0,16.0,0.0,3,4029.0,Domododevo,Moscow,Russia
3S,Air Antilles Express,Guadeloupe,24.0,0.0,0.0,9,2881.0,Le Raizet,Pointe-a-pitre,Guadeloupe
3U,Sichuan Airlines,China,286.0,96.0,10.0,9,3395.0,Shuangliu,Chengdu,China
4D,Air Sinai,Egypt,2.0,0.0,0.0,2,1128.0,Cairo Intl,Cairo,Egypt
4G,Gazpromavia,Russia,8.0,12.0,0.0,2,2988.0,Vnukovo,Moscow,Russia
4H,United Airways,Bangladesh,20.0,4.0,8.0,8,3076.0,Zia Intl,Dhaka,Bangladesh
4K,Askari Aviation,Pakistan,2.0,0.0,0.0,1,128.0,Resolute Bay,Resolute,Canada
4M,LAN Argentina,Argentina,2.0,0.0,8.0,3,3988.0,Ministro Pistarini,Buenos Aires,Argentina
4N,Air North Charter - Canada,Canada,7.0,4.0,2.0,1,176.0,Whitehorse Intl,Whitehorse,Canada
4O,Interjet (ABC Aerolineas),Mexico,86.0,22.0,4.0,6,1824.0,Licenciado Benito Juarez Intl,Mexico City,Mexico
4Q,Safi Airlines,Afghanistan,10.0,4.0,0.0,4,2050.0,Kabul Intl,Kabul,Afghanistan
4T,Belair Airlines,Switzerland,4.0,2.0,6.0,5,1678.0,Zurich,Zurich,Switzerland
4U,Germanwings,Germany,366.0,100.0,4.0,26,344.0,Koln Bonn,Cologne,Germany
4Y,Airbus France,France,29.0,0.0,2.0,1,3599.0,Bethel,Bethel,United States
5C,CAL Cargo Air Lines,Israel,29.0,0.0,0.0,3,1885.0,Juan Santamaria Intl,San Jose,Costa Rica
5G,Skyservice Airlines,Canada,2.0,0.0,0.0,1,248.0,Kotoka Intl,Accra,Ghana
5H,Fly540,Kenya,18.0,0.0,0.0,3,4059.0,Jomo Kenyatta International,Nairobi,Kenya
5J,Cebu Pacific,Philippines,132.0,44.0,6.0,15,2397.0,Ninoy Aquino Intl,Manila,Philippines
5M,Sibaviatrans,Russia,2.0,0.0,0.0,2,2874.0,V C Bird Intl,Antigua,Antigua and Barbuda
5N,Aeroflot-Nord,Russia,22.0,0.0,0.0,2,4362.0,Talagi,Arkhangelsk,Russia
5P,Pal airlines,Chile,4.0,0.0,0.0,1,2650.0,Arturo Merino Benitez Intl,Santiago,Chile
5Q,BQB Lineas Aereas,Uruguay,14.0,4.0,0.0,5,2816.0,Carrasco Intl,Montevideo,Uruguay
5T,Canadian North,Canada,63.0,2.0,0.0,1,132.0,Rankin Inlet,Rankin Inlet,Canada
5Z,VivaColombia,Colombia,4.0,0.0,0.0,1,813.0,Johannesburg Intl,Johannesburg,South Africa
6E,IndiGo Airlines,India,179.0,48.0,0.0,6,3093.0,Indira Gandhi Intl,Delhi,India
6H,Israir,Israel,6.0,6.0,0.0,5,1590.0,Ben Gurion,Tel-aviv,Israel
6I,Fly 6ix,Sierra Leone,2.0,0.0,0.0,1,609.0,Kastrup,Copenhagen,Denmark
6R,Alrosa Mirny Air Enterprise,Russia,18.0,4.0,8.0,1,2925.0,Mirny,Mirnyj,Russia
6T,Air Mandalay,Burma,22.0,0.0,0.0,1,3239.0,Yangon Intl,Yangon,Burma
6W,Saratov Aviation Division,Russia,8.0,2.0,0.0,3,4363.0,Central,Saratov,Russia
6Y,SmartLynx Airlines,Latvia,0.0,0.0,2.0,2,1056.0,Tenerife Sur,Tenerife,Spain
7C,Jeju Air,Republic of Korea,20.0,5.0,8.0,7,3930.0,Incheon Intl,Seoul,South Korea
7E,Aeroline GmbH,Germany,2.0,0.0,0.0,1,342.0,Hamburg,Hamburg,Germany
7F,First Air,Canada,72.0,2.0,0.0,1,55.0,Iqaluit,Iqaluit,Canada
7G,Star Flyer,Japan,6.0,0.0,0.0,1,2359.0,Tokyo Intl,Tokyo,Japan
7H,Era Alaska,United States,218.0,0.0,2.0,1,3599.0,Bethel,Bethel,United States
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles,37.0,8.0,0.0,10,2897.0,Hato,Willemstad,Netherlands Antilles
7J,Tajik Air,Tajikistan,6.0,22.0,6.0,9,2979.0,Dushanbe,Dushanbe,Tajikistan
7M,Mongolian International Air Lines ,Mongolia,8.0,0.0,0.0,1,1819.0,Licenciado Manuel Crescencio Rejon Int,Merida,Mexico
